,ESTU_TIENEETNIA,FAMI_ESTRATOVIVIENDA,FAMI_PERSONASHOGAR,FAMI_CUARTOSHOGAR,FAMI_TIENEINTERNET,FAMI_TIENESERVICIOTV,FAMI_TIENECOMPUTADOR,FAMI_TIENELAVADORA,FAMI_TIENEHORNOMICROOGAS,FAMI_TIENEAUTOMOVIL,FAMI_TIENEMOTOCICLETA,FAMI_TIENECONSOLAVIDEOJUEGOS,FAMI_NUMLIBROS,FAMI_SITUACIONECONOMICA,ESTU_DEDICACIONLECTURADIARIA,ESTU_DEDICACIONINTERNET,COLE_NATURALEZA,COLE_BILINGUE,COLE_CARACTER,COLE_AREA_UBICACION,COLE_JORNADA,PUNT_LECTURA_CRITICA,PUNT_MATEMATICAS,PUNT_C_NATURALES,PUNT_SOCIALES_CIUDADANAS,PUNT_INGLES,PUNT_GLOBAL,CALIFICACION
107,0,6,2,2,1,1,1,1,1,1,0,1,2,1,0,2,0,1,1,2,5,67,76,65,67,100,356,GANO
109,0,5,2,2,1,1,1,1,1,1,0,0,1,0,0,2,0,1,1,2,5,70,66,65,67,80,340,GANO
110,0,4,5,5,1,1,1,1,1,0,0,1,1,1,1,2,0,1,1,2,5,61,49,63,60,74,297,GANO
112,0,2,3,3,0,0,0,1,0,0,0,0,0,1,0,1,1,0,1,2,3,42,51,40,35,41,210,REGULAR
113,0,3,2,3,1,1,1,1,1,1,0,0,2,1,1,3,0,0,1,2,5,52,43,41,43,40,222,REGULAR
114,0,4,2,3,1,1,1,1,1,1,0,1,2,1,0,2,0,0,1,2,5,75,70,67,66,78,351,GANO
115,0,5,2,5,1,1,1,1,1,1,0,1,3,1,1,3,0,0,1,2,5,66,61,61,67,70,321,GANO
116,0,3,1,2,1,1,1,1,1,0,0,0,2,2,1,2,0,0,1,2,1,72,74,75,71,82,368,GANO
117,0,4,2,3,1,1,1,1,1,1,0,1,3,2,1,3,0,0,1,2,1,71,55,56,58,67,303,GANO
119,0,4,2,3,1,1,1,1,1,1,0,1,2,2,1,3,0,0,1,2,5,55,69,49,36,54,262,GANO
122,0,2,1,2,1,1,1,1,0,1,1,1,0,1,3,2,0,0,3,2,2,47,51,55,45,49,247,REGULAR
123,0,4,2,4,1,1,1,1,1,1,0,1,1,1,2,3,0,0,3,2,2,63,67,58,67,81,325,GANO
124,0,5,2,3,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,1,5,71,74,55,40,76,306,GANO
125,0,5,2,3,1,1,1,1,1,1,1,1,2,1,0,3,0,0,1,1,5,64,65,66,46,81,309,GANO
126,0,6,2,3,1,1,1,1,1,1,0,1,1,1,0,3,0,0,1,1,5,72,63,66,59,82,332,GANO
128,0,5,2,3,1,1,1,1,1,1,0,1,1,1,0,1,0,0,1,1,5,58,45,56,61,59,277,GANO
130,0,4,3,3,1,1,1,0,0,0,0,0,0,1,0,1,1,0,1,2,4,36,33,38,30,31,170,REGULAR
133,0,4,3,4,1,1,1,1,1,1,1,0,3,1,2,3,0,1,1,2,5,65,66,61,61,83,324,GANO
137,0,2,4,2,1,1,1,1,0,0,1,0,0,0,4,3,0,0,1,2,4,61,59,49,58,46,280,GANO
138,0,2,2,2,1,0,0,1,0,0,0,0,1,1,1,2,0,0,1,2,4,60,60,64,58,52,299,GANO
139,0,3,3,2,1,1,1,1,1,0,0,1,2,1,2,2,0,0,1,2,1,49,61,58,57,54,280,GANO
140,0,3,2,3,1,1,1,1,1,0,1,1,0,2,4,3,0,0,1,2,1,51,45,47,44,46,233,REGULAR
141,0,6,3,3,1,1,1,1,1,1,0,0,2,0,0,2,0,1,1,1,5,73,77,100,68,84,399,GANO
142,0,4,2,3,1,1,1,1,1,1,0,1,2,2,0,2,0,1,1,1,5,80,79,73,77,85,389,GANO
143,0,6,2,3,1,1,1,1,1,1,0,1,2,1,1,3,0,1,1,2,5,79,100,71,76,82,408,GANO
144,0,6,2,3,1,1,1,1,1,1,0,1,0,0,4,2,0,1,1,2,5,62,65,59,63,81,318,GANO
145,0,4,2,3,1,0,1,1,0,1,0,0,2,1,2,2,0,0,1,2,5,58,60,53,47,61,275,GANO
146,0,2,3,3,1,1,1,1,1,0,0,1,2,0,1,3,0,0,1,2,1,63,58,62,60,51,300,GANO
147,0,3,2,4,1,1,1,1,1,1,0,0,1,1,4,3,0,0,1,2,1,67,59,55,57,57,297,GANO
148,0,5,2,3,1,1,1,1,1,1,0,0,1,1,0,2,0,0,1,2,5,57,63,56,66,74,308,GANO
149,0,4,1,2,1,1,1,1,1,1,0,1,3,1,0,2,0,0,1,2,5,64,77,70,66,77,349,GANO
