FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONINTERNET;COLE_BILINGUE;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL;CALIFICACION
4;1;1;1;1;1;1;3;2;3;0;1;61;52;47;54;66;272;0
3;1;1;1;1;1;1;3;2;2;0;1;55;62;64;61;69;306;0
4;1;1;1;1;1;1;2;1;3;0;5;69;63;65;60;79;327;0
2;1;1;1;0;1;0;2;1;3;0;1;73;100;80;81;79;416;0
4;1;1;1;1;1;1;2;2;2;1;5;75;79;68;75;100;381;0
4;1;1;1;1;1;1;3;2;3;1;5;76;65;64;59;78;335;0
5;1;1;1;1;1;1;2;0;2;1;5;72;69;61;58;83;332;0
5;1;1;1;1;1;1;2;2;3;1;5;55;55;49;48;50;258;0
6;1;0;1;1;1;1;3;2;3;1;5;72;71;61;64;84;342;0
4;1;1;1;1;1;1;3;1;2;1;5;68;64;56;59;73;313;0
6;1;1;1;1;1;1;3;2;3;0;5;71;77;74;73;100;379;0
3;1;1;1;1;1;1;1;1;2;0;5;50;48;48;45;73;248;2
4;1;1;1;0;1;0;3;1;2;0;5;63;50;53;58;55;280;0
3;1;1;1;1;1;1;2;0;0;1;5;69;73;72;63;76;349;0
5;1;1;1;1;1;1;2;1;2;1;5;65;62;56;53;79;303;0
3;1;1;1;1;1;1;1;2;3;1;5;72;68;65;65;81;343;0
4;1;1;1;1;0;1;1;1;0;1;5;66;61;57;61;54;303;0
6;1;1;1;1;0;0;3;1;0;1;5;62;53;53;58;79;291;0
5;1;1;1;1;1;1;2;1;3;1;5;64;65;54;59;72;307;0
5;1;1;1;1;1;1;3;0;3;1;5;70;65;70;53;81;329;0
5;1;1;1;1;1;1;2;1;3;1;5;66;55;55;57;86;302;0
3;1;1;0;0;0;0;0;0;0;0;3;48;26;33;24;34;164;2
6;1;1;1;1;1;0;2;1;2;0;5;68;70;68;63;82;342;0
4;1;1;1;1;1;1;2;1;3;0;5;66;61;73;64;65;330;0
4;1;1;1;1;1;1;2;1;3;0;5;58;58;60;58;74;298;0
6;1;1;1;1;1;1;2;1;2;0;5;56;47;49;54;60;261;0
6;1;1;1;1;1;1;2;1;1;1;5;62;60;53;55;84;298;0
6;1;1;1;1;1;1;2;1;3;0;5;52;31;33;28;75;195;2
4;1;1;1;1;1;1;3;1;2;0;5;59;47;54;53;63;270;0
3;1;1;1;1;0;1;0;1;3;0;1;60;46;55;49;69;269;0
5;1;0;1;0;0;0;1;2;3;0;5;62;58;53;58;72;294;0
2;1;1;1;1;0;1;3;1;3;0;1;54;54;62;50;61;277;0
4;1;1;1;1;1;1;2;2;2;1;5;66;73;68;67;80;347;0
6;1;1;1;1;1;1;2;2;1;1;5;59;72;61;58;100;327;0
4;1;1;1;1;1;1;2;1;2;0;5;61;53;51;50;75;277;0
5;1;1;1;1;1;1;2;1;2;1;5;64;58;54;47;77;287;0
4;1;1;1;1;1;0;1;2;3;1;5;73;70;71;61;82;349;0
4;1;1;1;1;1;1;2;2;3;0;5;54;51;50;36;58;243;2
5;1;1;1;1;1;0;3;1;2;0;5;62;57;56;58;64;293;0
2;1;1;0;0;1;0;1;0;0;0;5;73;63;62;63;67;327;0
4;1;1;1;1;0;0;0;1;3;0;5;72;73;66;68;74;350;0
5;1;1;1;1;1;0;2;1;2;0;5;62;55;54;33;60;258;0
3;1;1;1;1;0;1;2;2;2;0;1;45;46;40;39;52;216;2
5;1;1;1;1;1;1;1;2;3;0;5;58;63;53;49;56;279;0
4;1;1;1;1;1;0;1;2;3;0;5;70;68;68;55;71;328;0
5;1;1;1;1;1;1;2;1;3;0;0;70;60;60;63;81;323;0
0;1;1;1;1;1;1;1;2;1;0;5;53;55;51;43;62;257;0
4;1;1;1;1;1;0;1;1;2;0;5;64;52;52;51;60;276;0
5;1;1;1;1;1;0;3;1;2;0;5;69;80;67;81;86;376;0
4;1;1;1;1;0;1;1;2;2;0;1;60;45;58;62;65;285;0
4;1;1;1;1;1;0;3;2;1;0;5;48;42;40;46;50;222;2
5;1;1;1;1;1;1;3;2;2;1;5;62;59;50;59;100;304;0
5;1;1;1;1;1;1;2;1;3;1;5;71;77;67;79;84;372;0
6;1;1;1;1;1;1;2;1;2;1;5;63;52;51;62;84;295;0
4;1;1;1;1;1;1;3;1;3;1;5;74;67;66;72;100;360;0
6;1;1;1;1;1;1;3;1;1;1;5;69;66;63;67;83;338;0
4;1;1;1;1;1;0;1;1;1;1;5;69;68;68;65;77;341;0
4;1;1;1;1;1;1;2;1;1;0;1;64;63;57;53;58;296;0
1;1;0;1;0;0;0;2;1;2;0;1;74;73;68;70;80;360;0
4;1;1;1;1;1;1;0;1;2;0;1;54;63;51;53;64;280;0
4;1;1;1;1;1;1;2;1;2;0;1;65;76;68;65;70;343;0
1;0;1;1;1;0;0;0;0;2;0;1;69;64;59;62;63;317;0
3;1;1;1;1;1;0;0;2;2;0;5;57;67;57;61;56;301;0
1;1;1;1;0;0;1;0;1;2;0;5;70;76;70;69;73;357;0
3;1;1;1;0;1;0;2;2;2;0;1;63;58;59;58;56;296;0
2;1;1;1;1;1;0;2;1;3;0;1;55;48;57;49;50;260;0
3;1;1;1;0;1;0;2;1;1;0;1;69;70;71;58;61;333;0
4;1;1;1;1;1;1;3;2;3;1;5;66;66;69;67;63;333;0
6;1;1;1;1;1;0;2;2;3;1;5;61;61;61;60;74;309;0
6;1;0;1;1;1;1;3;1;1;1;5;64;73;69;71;78;350;0
5;1;1;1;1;1;1;3;0;3;1;5;66;63;65;66;82;332;0
4;1;1;1;1;1;0;2;1;3;0;5;71;57;55;59;72;307;0
4;1;1;1;1;0;0;0;0;1;0;5;63;54;57;64;69;301;0
6;1;1;1;1;1;1;3;1;3;1;5;72;70;70;60;82;345;0
5;1;1;1;1;1;1;3;2;3;1;5;79;77;71;72;83;377;0
4;1;1;1;1;1;1;2;1;1;1;5;60;58;55;57;84;298;0
6;1;1;1;1;1;1;2;1;2;1;5;72;70;62;80;84;360;0
3;1;1;1;1;0;0;2;1;3;0;1;67;66;59;56;64;311;0
4;1;1;1;1;1;1;1;2;3;1;5;65;67;61;67;84;332;0
4;1;1;1;1;1;1;3;1;1;1;5;61;69;67;65;84;335;0
6;1;1;1;1;1;0;0;2;2;1;5;55;59;51;53;74;280;0
6;1;1;1;1;1;0;1;2;2;1;5;41;42;44;43;75;225;2
1;1;0;1;0;0;0;1;2;1;0;3;42;39;37;39;44;198;2
6;1;1;1;1;1;1;2;1;3;0;5;53;55;49;55;78;275;0
4;1;1;1;1;1;1;3;2;2;0;5;65;65;58;60;78;316;0
4;1;1;1;1;1;1;2;1;2;1;5;58;70;68;50;83;316;0
6;1;1;1;1;1;1;2;2;3;1;5;58;48;50;45;81;263;0
6;1;1;1;1;1;1;3;1;2;0;5;64;65;58;64;71;317;0
6;1;1;1;1;1;1;2;1;2;1;5;77;78;74;73;83;380;0
5;1;1;1;1;1;1;3;1;2;1;5;69;71;74;70;85;360;0
5;1;1;1;1;1;1;2;2;2;1;5;64;69;65;65;100;342;0
5;1;1;1;1;1;1;2;1;3;1;5;74;72;75;76;100;381;0
4;1;1;1;1;1;1;2;2;2;0;5;70;76;70;79;100;379;0
4;1;0;1;1;1;1;1;1;3;0;1;51;55;53;53;52;265;0
3;1;1;1;1;1;0;2;1;2;0;1;51;47;41;51;60;242;2
5;1;1;1;1;1;1;0;2;1;1;5;63;64;64;56;81;316;0
3;1;1;1;0;1;0;2;1;2;0;5;66;65;60;63;76;322;0
3;1;1;1;1;1;0;0;2;3;0;1;63;60;54;61;64;299;0
5;1;1;1;1;1;1;2;2;3;1;5;82;83;70;79;85;395;0
3;1;1;1;1;1;0;2;1;3;0;5;71;62;71;71;67;343;0
6;1;1;1;1;1;1;3;1;2;1;5;75;76;68;69;82;364;0
2;1;1;1;1;1;0;1;2;2;0;5;67;59;56;67;75;316;0
5;1;1;1;1;1;1;2;2;2;0;5;61;72;63;67;76;333;0
4;1;1;1;1;1;1;2;2;2;1;5;66;56;58;60;83;309;0
2;1;1;1;1;1;1;3;1;3;1;5;65;66;60;70;81;332;0
4;1;1;1;1;1;1;3;1;2;1;5;70;76;70;67;80;357;0
4;1;1;1;1;1;1;2;2;3;1;5;64;60;62;57;72;308;0
5;1;1;1;1;1;1;2;2;2;1;5;72;72;68;69;84;357;0
3;1;1;1;0;1;0;3;0;1;0;5;54;44;44;28;59;219;2
3;1;1;1;1;1;0;1;2;2;0;1;81;70;66;65;74;354;0
5;1;1;1;1;1;1;2;2;3;0;5;62;63;59;57;64;303;0
6;1;1;1;1;1;1;1;1;1;0;5;63;63;66;50;75;308;0
2;0;0;1;0;0;0;0;0;3;0;2;71;69;68;70;74;349;0
4;1;1;1;0;1;0;0;1;2;0;5;56;39;45;35;41;218;2
5;1;1;1;1;0;0;2;2;1;0;5;59;59;60;32;61;266;0
3;1;1;1;1;1;0;3;0;2;0;5;67;72;66;64;58;333;0
3;1;1;1;0;1;1;2;1;1;0;1;43;38;43;24;61;194;2
3;1;1;1;1;0;1;2;2;2;0;1;59;61;56;59;48;290;0
4;1;1;1;1;1;1;1;1;2;0;5;71;74;70;62;79;350;0
3;1;1;1;1;0;0;2;0;3;1;5;57;43;45;51;49;245;2
5;1;1;1;1;1;1;3;1;3;0;5;70;73;73;67;77;356;0
1;0;0;0;0;0;0;0;1;2;0;5;66;61;59;64;78;318;0
2;1;1;0;0;1;0;3;1;2;0;5;65;69;59;61;50;312;0
1;1;1;1;1;0;1;0;2;2;0;5;55;61;48;41;60;260;0
6;1;1;1;1;1;1;2;2;2;1;5;71;56;60;63;73;317;0
4;1;1;1;0;0;1;2;1;3;1;5;62;43;52;61;72;279;0
3;1;1;1;1;1;1;2;0;3;0;5;48;64;71;67;83;320;0
4;1;1;1;1;1;1;3;2;2;0;5;75;73;65;65;81;352;0
2;1;1;1;0;1;0;3;2;3;0;1;49;50;46;29;46;218;2
3;1;1;1;1;0;0;3;1;3;0;1;57;59;64;48;63;287;0
6;1;1;1;1;1;1;2;1;2;1;5;72;80;74;78;83;383;0
4;1;1;1;1;1;1;1;1;1;0;5;61;59;53;52;71;287;0
4;1;1;1;1;1;0;2;1;2;0;5;63;80;66;62;77;342;0
4;1;1;1;1;1;1;1;1;3;0;5;70;74;64;67;100;356;0
5;1;1;1;1;1;1;2;0;3;1;5;58;74;65;65;100;341;0
6;1;1;1;1;1;1;3;2;1;1;5;61;72;64;66;77;333;0
5;1;1;1;1;1;1;3;0;3;1;5;62;66;61;64;79;322;0
5;1;1;1;1;1;1;3;1;2;1;5;68;64;64;62;81;329;0
5;1;1;1;1;1;1;2;1;1;0;5;74;67;55;58;84;325;0
4;1;1;1;1;1;1;3;2;3;0;5;73;75;65;77;81;366;0
5;1;1;1;1;1;1;3;1;3;1;5;58;65;58;57;79;305;0
6;1;1;1;1;1;1;1;1;3;1;5;60;65;58;35;69;278;0
2;0;0;0;0;1;0;1;0;1;0;1;47;41;35;48;53;218;2
6;1;1;1;1;1;1;3;0;2;0;5;70;69;59;64;80;333;0
6;1;1;1;1;1;1;2;1;3;1;5;55;59;55;46;81;279;0
4;1;1;1;1;1;1;2;1;2;0;5;55;63;61;56;57;293;0
5;1;1;1;1;1;1;1;1;3;0;5;77;79;73;71;88;380;0
6;1;1;1;1;1;1;2;1;3;1;5;46;60;48;47;82;263;0
4;1;1;1;1;1;0;1;0;2;0;5;70;75;72;66;81;358;0
5;1;1;1;1;1;1;2;2;3;1;5;72;78;74;74;86;377;0
3;1;1;1;1;0;0;3;1;1;0;1;59;62;63;57;71;305;0
4;1;1;1;1;1;1;1;1;2;0;0;76;79;76;75;100;392;0
6;1;1;1;1;1;1;2;2;1;1;5;74;69;66;59;86;342;0
6;1;1;1;1;1;1;2;2;2;1;5;68;67;54;56;81;314;0
6;1;1;1;1;1;1;3;1;2;1;5;74;63;68;70;88;351;0
6;1;1;1;1;1;1;3;0;2;1;5;48;61;60;56;84;292;0
6;1;1;1;1;1;0;2;1;2;1;5;74;67;62;74;81;351;0
4;1;1;1;1;1;1;2;1;3;1;5;60;59;56;56;81;298;0
6;1;1;1;1;1;1;2;1;3;1;5;67;78;69;66;83;355;0
5;1;1;1;1;1;1;3;2;2;1;5;76;76;67;69;82;364;0
2;1;1;1;1;1;0;2;2;1;0;0;62;57;61;47;60;285;0
4;1;1;1;1;1;1;2;1;3;0;5;69;75;63;71;83;353;0
6;1;1;1;1;1;1;2;2;2;0;5;72;71;63;70;78;348;0
5;1;1;1;1;1;0;3;0;2;1;5;76;77;73;73;100;383;0
4;1;1;1;1;1;1;2;1;2;1;5;68;63;65;60;82;327;0
4;1;1;1;1;0;1;1;1;3;0;1;53;57;53;45;70;267;0
6;1;1;1;1;1;1;2;1;3;1;5;71;68;67;56;77;332;0
6;1;1;1;1;1;1;3;2;3;1;5;64;63;56;54;81;305;0
0;1;1;1;1;1;1;2;1;2;1;5;61;68;69;71;84;343;0
5;1;1;1;1;1;1;2;2;3;1;5;73;66;61;66;80;338;0
4;1;1;1;1;1;1;2;1;2;1;5;72;79;74;80;85;385;0
3;1;1;1;1;1;0;3;2;2;0;5;75;77;77;69;100;382;0
4;1;1;1;1;0;1;3;1;3;0;5;62;77;68;74;84;357;0
6;1;1;1;1;1;1;2;2;3;0;5;64;56;59;59;80;305;0
3;1;1;1;1;1;1;1;2;3;0;5;65;66;65;62;74;326;0
5;1;1;1;1;1;1;2;2;2;0;1;72;70;63;73;68;347;0
4;1;1;1;1;0;0;2;2;3;1;5;72;62;64;73;72;340;0
5;1;1;1;1;1;1;0;1;2;0;5;65;74;69;57;81;337;0
5;1;1;1;1;1;0;2;1;3;0;5;72;67;70;62;59;335;0
5;1;1;1;1;1;1;3;2;3;0;5;72;78;73;71;78;369;0
6;1;1;1;1;1;1;2;1;3;1;5;67;66;63;68;79;335;0
6;1;1;1;1;1;1;2;0;2;1;5;66;68;64;60;73;326;0
3;1;1;1;1;1;1;2;1;2;0;5;72;53;57;68;53;309;0
6;1;1;1;1;1;0;2;2;2;1;5;69;61;66;60;75;324;0
5;1;1;1;1;1;1;0;1;3;1;5;71;78;77;78;86;384;0
3;1;1;1;1;1;1;1;2;2;0;1;71;61;64;68;75;333;0
5;1;1;1;1;1;1;3;1;3;1;5;69;79;77;68;83;370;0
6;1;1;1;1;1;1;3;2;2;1;5;71;72;66;68;84;352;0
6;1;1;1;1;1;1;3;2;2;1;5;70;69;65;73;84;352;0
4;1;1;1;1;1;1;2;0;2;0;5;56;59;60;57;70;295;0
4;1;1;1;1;1;1;2;2;2;1;5;77;72;79;73;83;379;0
6;1;1;1;1;1;1;3;1;1;1;5;54;80;63;45;85;312;0
3;1;1;1;1;0;0;3;1;3;1;5;61;46;37;41;77;243;2
5;1;1;1;1;1;1;1;1;3;0;5;64;74;67;65;81;343;0
5;1;1;1;1;1;1;2;1;1;1;5;65;70;77;67;84;354;0
5;1;1;1;1;1;0;2;0;0;0;5;61;55;52;47;76;277;0
4;1;1;1;1;1;1;2;1;2;0;5;64;73;62;62;75;330;0
6;1;1;1;1;1;1;3;0;2;1;5;71;72;71;69;85;359;0
5;1;1;1;1;1;1;2;1;3;0;5;62;59;58;53;65;293;0
5;1;1;1;1;1;1;0;2;1;1;5;66;66;59;70;83;333;0
6;1;1;1;1;1;1;2;2;3;1;5;64;77;69;60;79;342;0
5;1;1;1;1;1;0;2;0;0;1;5;46;53;38;30;76;222;2
4;1;1;1;1;1;1;2;1;3;0;1;30;39;34;27;28;161;2
5;1;1;1;1;1;1;2;1;2;1;5;70;58;61;62;84;322;0
4;1;1;1;1;1;1;2;1;3;0;1;51;63;56;57;62;286;0
3;1;1;1;1;1;0;2;0;2;0;1;70;68;79;76;82;370;0
4;1;1;1;1;1;0;2;1;0;0;5;63;53;57;55;68;289;0
2;1;1;0;0;0;0;1;1;2;0;3;47;37;39;36;73;212;2
6;1;1;1;1;1;1;3;2;2;1;5;66;77;65;55;82;335;0
6;1;1;1;1;1;0;2;1;1;1;5;69;71;65;70;86;350;0
6;1;1;1;1;1;1;3;0;2;1;5;72;81;68;75;88;375;0
6;1;1;1;1;1;1;3;0;3;0;5;63;64;56;52;73;299;0
5;1;1;1;1;1;0;3;0;2;1;5;78;72;70;77;80;373;0
5;1;1;1;1;1;1;2;2;1;0;5;69;63;60;62;83;325;0
6;1;1;1;1;1;1;2;2;1;0;5;61;61;56;47;61;283;0
4;1;1;1;1;1;0;1;2;2;0;5;51;63;54;52;64;278;0
4;1;1;1;1;1;1;2;1;3;0;5;73;78;75;66;84;369;0
6;1;1;1;1;1;1;3;2;1;0;5;67;61;65;71;78;335;0
4;1;1;1;1;1;1;3;2;2;0;5;70;78;75;73;80;372;0
4;1;1;1;1;1;1;2;2;2;0;5;46;54;54;42;64;251;0
4;1;1;1;1;1;0;1;1;3;0;1;65;54;59;56;53;290;0
1;1;1;1;1;1;0;2;1;3;0;5;76;74;70;70;82;366;0
3;1;1;0;0;0;0;2;1;3;0;5;64;61;67;72;79;335;0
3;1;1;1;1;1;1;3;1;1;0;5;63;68;64;64;72;327;0
6;1;1;1;1;1;0;2;2;0;0;5;70;74;71;69;87;361;0
3;1;1;1;1;1;0;2;1;2;0;1;60;63;62;62;53;305;0
4;1;1;1;0;1;1;2;1;1;0;5;59;61;52;53;73;288;0
4;1;1;1;1;1;1;1;1;3;0;5;63;73;60;61;73;325;0
4;1;1;1;1;1;1;2;0;3;1;5;70;57;53;64;75;310;0
6;1;1;1;1;1;1;3;0;3;1;5;69;71;64;64;81;340;0
5;1;1;1;1;0;1;2;1;2;1;5;63;71;67;74;84;350;0
3;1;1;1;1;1;1;1;1;3;0;5;65;64;58;66;70;319;0
3;1;1;1;1;1;0;2;1;3;0;5;55;48;39;41;69;238;2
5;1;1;1;1;1;0;1;1;3;0;5;64;64;62;58;79;317;0
6;1;1;1;1;1;0;1;1;1;0;5;67;65;66;66;71;332;0
5;1;1;1;1;1;0;2;1;2;0;5;80;67;69;73;74;362;0
4;1;1;1;1;1;1;2;1;2;0;5;52;63;59;66;50;296;0
3;1;1;1;0;1;1;2;2;1;1;5;73;77;64;71;83;361;0
3;1;1;1;1;1;0;1;1;3;0;5;53;60;55;55;71;285;0
6;1;1;1;1;1;0;2;2;3;1;5;72;75;65;73;87;362;0
4;1;1;1;1;1;1;2;1;3;0;5;50;52;53;45;56;252;0
6;1;1;1;1;1;0;2;1;2;1;5;69;66;61;59;88;328;0
5;1;1;1;1;1;1;1;1;2;1;5;65;68;67;65;81;337;0
4;1;1;0;1;1;0;1;1;3;0;5;67;69;68;69;77;345;0
6;1;1;1;1;1;1;2;2;2;1;5;69;67;60;66;79;333;0
3;1;1;1;1;1;0;2;2;3;0;5;65;63;69;72;100;349;0
5;1;1;1;1;0;0;2;0;3;0;5;61;56;60;55;52;288;0
6;1;1;1;1;1;1;2;2;1;1;5;73;76;71;74;83;371;0
5;1;1;1;1;1;1;0;1;1;0;5;74;78;73;64;79;364;0
4;1;1;1;1;1;1;2;2;2;0;5;57;66;67;59;72;315;0
4;1;1;1;0;1;0;3;1;3;1;5;63;68;67;64;75;331;0
5;1;1;1;1;1;1;2;1;3;0;5;46;56;46;42;63;243;2
6;1;1;1;1;1;1;2;2;2;0;5;71;82;77;71;81;378;0
4;1;1;1;1;1;1;3;0;3;0;5;58;61;61;65;70;310;0
3;1;1;1;1;0;0;0;1;3;0;5;65;58;62;57;59;302;0
3;1;1;1;1;1;1;2;1;3;0;5;64;57;56;70;57;307;0
5;1;1;1;1;1;0;3;1;2;0;5;65;68;56;37;78;291;0
2;1;1;1;0;0;0;0;2;2;0;0;54;59;50;45;49;259;0
5;1;1;1;0;1;1;3;1;2;0;5;75;72;74;77;78;374;0
6;1;0;1;1;1;1;2;1;3;1;5;68;71;63;55;83;328;0
6;1;1;1;1;1;0;3;2;2;0;5;71;65;67;68;80;343;0
4;1;1;1;1;1;1;2;1;3;0;5;64;57;57;60;77;304;0
5;1;1;1;1;1;1;2;2;3;1;5;76;73;64;63;81;350;0
5;1;1;1;1;1;0;2;2;1;0;5;48;55;47;43;68;249;2
6;1;1;1;1;1;1;3;1;2;1;5;61;62;59;56;78;305;0
5;1;1;1;1;1;1;2;2;2;0;5;69;64;68;60;82;333;0
6;1;1;1;1;1;1;1;2;0;0;5;77;80;78;75;84;390;0
4;1;1;1;1;0;1;3;2;1;0;3;38;39;32;32;52;183;2
4;1;1;1;1;1;1;3;0;2;1;5;70;65;61;66;82;334;0
5;1;1;1;1;1;1;2;1;2;1;5;67;61;54;55;80;304;0
6;1;1;1;1;1;1;3;1;2;1;5;75;69;64;69;81;351;0
6;1;1;1;1;1;1;3;1;3;1;5;60;56;60;55;82;298;0
5;1;1;1;1;1;1;2;2;2;1;5;54;61;66;64;80;313;0
6;1;1;1;1;1;1;3;2;2;1;5;63;74;69;61;80;339;0
2;1;1;1;1;1;0;0;1;0;0;1;43;42;46;41;47;217;2
6;1;1;1;1;1;0;2;1;2;1;5;70;65;60;61;82;327;0
2;1;1;1;0;0;0;1;0;2;0;5;68;70;62;61;69;328;0
4;1;1;1;1;1;1;2;1;2;0;5;62;71;65;53;69;316;0
6;1;1;1;1;1;1;2;2;2;1;5;66;70;70;66;85;347;0
4;1;1;1;1;1;1;3;1;3;1;5;67;100;79;76;81;403;0
5;1;1;1;1;1;1;2;1;2;1;5;66;76;59;63;86;338;0
6;1;1;1;1;1;1;3;1;3;1;5;69;75;76;80;83;378;0
6;1;1;1;1;1;1;3;1;2;1;5;82;100;78;84;100;435;0
6;1;1;1;1;1;1;3;1;3;0;5;56;64;62;60;83;311;0
6;1;1;1;1;1;1;1;1;3;1;5;70;76;76;62;79;358;0
4;1;1;1;1;1;1;3;2;1;1;5;60;58;56;56;71;293;0
4;1;1;1;1;1;0;1;1;2;0;5;44;70;49;34;63;252;0
4;1;1;1;1;1;1;0;0;0;0;5;58;64;56;63;64;303;0
4;1;1;1;1;1;0;2;0;3;1;5;58;58;60;55;82;298;0
6;1;1;1;1;1;1;0;1;2;0;5;59;57;52;55;78;287;0
3;1;1;1;1;1;0;1;1;4;0;0;62;65;66;68;69;328;0
2;1;1;1;0;0;0;0;1;1;0;1;39;36;32;40;34;183;2
6;1;1;1;1;1;1;3;1;0;0;1;49;46;37;34;78;222;2
4;1;1;1;1;1;1;1;1;2;0;5;58;61;52;58;65;289;0
4;1;1;1;0;1;0;2;1;3;0;5;66;50;64;65;69;309;0
0;1;1;1;1;0;1;2;1;2;1;5;69;83;77;73;82;380;0
4;0;1;0;1;0;0;0;1;1;0;4;38;32;41;32;41;181;2
3;1;1;1;1;0;0;0;2;3;0;1;38;24;37;35;36;168;2
3;1;1;1;1;1;1;3;1;1;0;1;62;45;56;46;67;267;0
3;1;1;1;1;1;1;0;1;2;0;1;71;80;69;69;69;360;0
4;1;1;1;1;1;1;1;1;2;0;0;69;62;67;55;81;323;0
5;1;1;1;1;1;0;3;1;0;0;5;52;49;57;46;66;261;0
3;1;1;1;1;1;1;0;1;3;0;1;70;62;62;65;65;324;0
5;1;1;1;1;1;1;2;2;2;0;5;77;65;63;54;76;328;0
4;1;1;1;1;1;0;1;1;2;1;5;71;75;68;73;100;370;0
4;1;1;1;1;1;1;2;1;3;0;5;52;54;57;49;73;273;0
5;1;0;1;1;1;1;2;2;3;1;5;63;51;59;52;70;287;0
6;1;1;1;1;1;1;2;0;2;0;5;76;73;71;71;84;368;0
5;1;1;1;1;1;0;2;2;3;0;5;71;66;62;66;80;337;0
4;1;1;1;1;0;0;1;2;2;1;5;69;72;64;75;85;356;0
3;1;1;1;1;1;1;2;1;3;0;5;66;41;56;64;63;286;0
6;1;1;1;1;1;1;2;1;2;1;5;76;74;67;69;83;362;0
5;1;1;1;1;1;1;2;1;3;1;5;54;58;51;61;84;291;0
6;1;1;1;1;1;1;2;1;2;1;5;68;80;72;68;83;364;0
4;1;1;1;1;1;0;3;1;1;1;5;69;72;78;76;100;379;0
6;1;1;1;1;1;1;2;1;3;1;5;64;66;62;59;84;322;0
5;1;1;1;1;1;1;3;2;2;0;5;72;60;60;60;76;320;0
4;1;1;1;1;1;1;3;1;2;1;5;74;79;70;72;84;373;0
5;1;1;1;1;1;1;1;1;1;0;5;47;48;46;38;76;236;2
6;1;1;1;1;1;1;3;2;3;1;5;58;71;63;58;81;320;0
5;1;1;1;1;1;1;2;2;2;1;5;72;65;55;62;80;324;0
4;1;1;1;1;1;1;1;2;3;0;5;60;58;52;57;71;289;0
5;1;1;1;1;1;1;2;2;3;1;5;64;55;50;45;76;276;0
4;1;1;1;1;1;0;3;2;2;1;5;75;81;74;80;83;390;0
3;1;1;1;1;0;1;3;2;2;0;5;70;61;63;64;83;330;0
6;1;1;1;1;1;1;2;2;2;1;5;73;77;71;74;100;379;0
6;1;1;1;1;1;1;2;1;3;0;5;74;73;75;76;81;375;0
5;1;1;1;1;1;1;3;1;3;1;5;67;59;60;67;86;325;0
1;1;1;1;1;1;0;0;2;1;0;3;31;32;39;32;48;173;2
6;1;1;1;1;1;1;0;2;3;1;5;71;77;72;65;80;360;0
4;1;1;1;1;1;1;2;1;3;1;5;64;69;59;57;80;318;0
6;1;1;1;1;1;0;3;1;3;0;5;77;68;69;66;78;353;0
4;1;1;1;1;1;1;2;1;2;1;5;67;73;71;64;78;347;0
3;1;1;1;1;1;1;2;1;1;1;5;65;60;55;54;70;297;0
5;1;1;1;1;1;1;2;2;0;1;5;76;72;76;72;80;372;0
4;1;1;1;1;1;0;2;1;2;0;5;69;60;65;67;70;328;0
5;1;1;1;1;1;1;1;1;3;0;5;57;63;62;59;74;307;0
2;1;1;1;1;1;1;3;1;3;1;5;75;80;71;77;87;383;0
6;1;1;1;1;1;1;2;1;3;0;5;62;62;60;56;82;308;0
4;1;1;1;1;1;1;2;1;2;1;5;56;68;62;54;75;306;0
6;1;1;1;1;1;1;2;2;3;0;5;66;69;73;53;79;332;0
4;1;1;1;1;1;1;2;0;2;1;5;77;80;74;77;86;388;0
6;1;1;1;1;1;1;1;0;0;0;5;58;64;65;61;100;325;0
6;1;1;1;1;1;0;3;1;3;0;5;67;71;68;62;100;348;0
6;1;1;1;1;1;1;3;1;1;1;5;76;78;100;83;81;420;0
5;1;1;1;1;1;0;3;1;2;1;5;73;61;58;52;79;312;0
5;1;1;1;1;1;0;2;1;2;0;5;68;67;73;62;76;341;0
2;1;1;1;1;1;1;2;1;2;0;1;61;51;57;48;53;271;0
4;1;1;1;1;1;1;0;2;3;0;5;53;57;48;41;67;255;0
4;1;1;1;1;1;1;0;0;2;0;5;65;66;70;70;87;346;0
4;1;1;1;0;0;0;3;1;2;0;5;60;63;61;64;74;315;0
3;1;1;1;1;1;1;2;1;0;0;5;59;68;57;58;58;302;0
5;1;1;1;1;1;0;2;1;3;1;5;66;58;62;69;83;326;0
3;1;1;1;0;1;0;1;1;3;0;5;61;64;56;58;68;302;0
5;1;1;1;1;1;1;1;2;3;1;5;74;76;75;76;87;381;0
5;1;1;1;1;1;1;2;0;2;1;5;66;59;54;54;82;300;0
3;1;1;1;0;1;1;3;2;3;0;5;70;75;69;65;71;349;0
3;1;1;1;1;1;1;1;1;2;0;5;65;69;74;60;71;337;0
5;1;1;1;1;1;0;0;1;3;0;5;44;48;47;42;52;229;2
5;1;1;1;1;1;1;3;2;2;1;5;80;80;76;85;86;403;0
