FAMI_ESTRATOVIVIENDA;FAMI_TIENEINTERNET;FAMI_TIENESERVICIOTV;FAMI_TIENECOMPUTADOR;FAMI_TIENEHORNOMICROOGAS;FAMI_TIENEAUTOMOVIL;FAMI_TIENECONSOLAVIDEOJUEGOS;FAMI_NUMLIBROS;FAMI_SITUACIONECONOMICA;ESTU_DEDICACIONINTERNET;COLE_BILINGUE;COLE_JORNADA;PUNT_LECTURA_CRITICA;PUNT_MATEMATICAS;PUNT_C_NATURALES;PUNT_SOCIALES_CIUDADANAS;PUNT_INGLES;PUNT_GLOBAL;CALIFICACION
2;0;0;0;0;0;0;0;1;1;0;3;42;51;40;35;41;210;2
3;1;1;1;1;1;0;2;1;3;0;5;52;43;41;43;40;222;2
4;1;1;1;1;1;1;2;1;2;0;5;75;70;67;66;78;351;0
5;1;1;1;1;1;1;3;1;3;0;5;66;61;61;67;70;321;0
3;1;1;1;1;0;0;2;2;2;0;1;72;74;75;71;82;368;0
4;1;1;1;1;1;1;3;2;3;0;1;71;55;56;58;67;303;0
4;1;1;1;1;1;1;2;2;3;0;5;55;69;49;36;54;262;0
2;1;1;1;0;1;1;0;1;2;0;2;47;51;55;45;49;247;2
4;1;1;1;1;1;1;1;1;3;0;2;63;67;58;67;81;325;0
5;1;1;1;1;1;1;2;2;2;1;5;71;74;55;40;76;306;0
5;1;1;1;1;1;1;2;1;3;0;5;64;65;66;46;81;309;0
6;1;1;1;1;1;1;1;1;3;0;5;72;63;66;59;82;332;0
5;1;1;1;1;1;1;1;1;1;0;5;58;45;56;61;59;277;0
4;1;1;1;0;0;0;0;1;1;0;4;36;33;38;30;31;170;2
4;1;1;1;1;1;0;3;1;3;1;5;65;66;61;61;83;324;0
2;1;1;1;0;0;0;0;0;3;0;4;61;59;49;58;46;280;0
2;1;0;0;0;0;0;1;1;2;0;4;60;60;64;58;52;299;0
3;1;1;1;1;0;1;2;1;2;0;1;49;61;58;57;54;280;0
3;1;1;1;1;0;1;0;2;3;0;1;51;45;47;44;46;233;2
6;1;1;1;1;1;0;2;0;2;1;5;73;77;100;68;84;399;0
4;1;1;1;1;1;1;2;2;2;1;5;80;79;73;77;85;389;0
6;1;1;1;1;1;1;2;1;3;1;5;79;100;71;76;82;408;0
6;1;1;1;1;1;1;0;0;2;1;5;62;65;59;63;81;318;0
4;1;0;1;0;1;0;2;1;2;0;5;58;60;53;47;61;275;0
2;1;1;1;1;0;1;2;0;3;0;1;63;58;62;60;51;300;0
3;1;1;1;1;1;0;1;1;3;0;1;67;59;55;57;57;297;0
5;1;1;1;1;1;0;1;1;2;0;5;57;63;56;66;74;308;0
4;1;1;1;1;1;1;3;1;2;0;5;64;77;70;66;77;349;0
5;1;1;1;1;1;1;2;0;2;0;1;69;68;68;68;79;345;0
4;1;1;1;1;1;1;2;1;2;0;5;59;51;55;57;66;282;0
4;1;1;1;1;1;0;0;1;2;0;5;67;58;61;68;80;324;0
3;1;1;1;1;0;0;0;1;1;0;5;59;69;64;60;74;319;0
3;1;1;1;1;1;0;2;2;1;0;5;52;58;62;54;64;285;0
2;1;1;1;1;1;1;1;1;3;1;5;79;57;70;74;81;354;0
4;1;0;1;1;1;1;3;1;3;0;5;68;75;70;72;76;358;0
3;1;1;1;1;0;1;0;1;3;0;1;50;44;44;34;47;217;2
3;1;1;1;1;1;1;1;0;3;0;1;43;48;44;30;48;209;2
6;1;1;1;1;1;1;3;2;2;1;5;73;80;73;73;87;378;0
6;1;1;1;1;1;1;2;1;3;1;5;67;65;55;48;80;302;0
3;1;0;1;0;1;0;2;1;2;0;1;57;53;61;60;53;287;0
4;1;1;1;1;1;1;3;1;2;0;5;68;72;72;70;70;352;0
2;1;1;1;1;1;1;0;1;1;0;1;63;59;51;36;50;260;0
5;1;1;1;1;1;1;2;2;2;0;5;56;62;59;64;66;303;0
